iter	RMSE
0	378.0458063
1	357.5179195
2	338.3579554
3	322.2683346
4	308.107486
5	295.8978004
6	285.2102565
7	275.2479369
8	266.7202369
9	259.0059379
10	251.5236423
11	246.0464797
12	239.6711084
13	234.4553225
14	229.840655
15	225.8274323
16	222.1886121
17	219.1162463
18	216.2872442
19	213.660082
20	211.319015
21	209.4527101
22	207.5210643
23	205.8314985
24	204.3194812
25	202.7604784
26	201.2963585
27	200.0106538
28	199.1420882
29	198.1111202
30	197.2540113
31	196.0875394
32	195.1878193
33	194.4924205
34	193.6396228
35	193.0120209
36	192.1942743
37	191.416535
38	190.4628176
39	189.857039
40	189.0848789
41	188.1836401
42	187.0102151
43	186.2939647
44	185.8244344
45	185.2329383
46	184.8061381
47	184.2389305
48	183.7094062
49	183.0646941
50	182.6329497
51	181.9738212
52	181.5659539
53	180.9625068
54	180.595144
55	180.1008051
56	179.7234097
57	179.3337889
58	178.9931844
59	178.5725635
60	178.0789741
61	177.5079221
62	177.0219425
63	176.5546993
64	176.2388787
65	176.0455151
66	175.6024786
67	175.1938571
68	174.7976625
69	174.471785
70	174.1813985
71	173.9483856
72	173.7082762
73	173.4093621
74	173.0005145
75	172.6884367
76	172.3689859
77	172.1311971
78	171.8535801
79	171.5859214
80	171.4028527
81	171.253309
82	170.9035264
83	170.5771708
84	170.2700127
85	169.9708494
86	169.794963
87	169.5282856
88	169.3763209
89	169.1647652
90	168.9533269
91	168.510995
92	168.3466531
93	168.1219051
94	167.7030385
95	167.3981849
96	167.2885336
97	167.1810927
98	166.8554167
99	166.5540422
100	166.3578594
101	166.0812866
102	165.8510364
103	165.6549805
104	165.5627682
105	165.3590802
106	165.1563366
107	164.9407522
108	164.7833973
109	164.4414789
110	164.372084
111	164.065677
112	163.8989612
113	163.6878258
114	163.587492
115	163.3856375
116	163.1394366
117	162.7043994
118	162.4882364
119	162.1750467
120	162.0368006
121	161.9036428
122	161.824804
123	161.7384339
124	161.518932
125	161.3780464
126	161.1508511
127	160.9837377
128	160.9079272
129	160.7425668
130	160.6307667
131	160.509122
132	160.3877103
133	160.1376693
134	159.9801636
135	159.8430661
136	159.7586252
137	159.5247241
138	159.0955176
139	158.9835184
140	158.8408643
141	158.5373171
142	158.395181
143	158.2427341
144	158.0123594
145	157.9169167
146	157.7554961
147	157.6195688
148	157.4575641
149	157.3721418
150	157.1686347
151	157.0859915
152	156.9914227
153	156.8935424
154	156.8161068
155	156.6093623
156	156.2829905
157	156.113061
158	156.0442413
159	155.8482611
160	155.5303288
161	155.4553838
162	155.2042529
163	155.0947694
164	154.8930082
165	154.8180179
166	154.7154011
167	154.6400179
168	154.445133
169	154.351102
170	154.2800352
171	154.1131591
172	153.941144
173	153.8248852
174	153.6668953
175	153.5998697
176	153.3566483
177	153.291934
178	153.1129625
179	153.0179979
180	152.8946147
181	152.7134797
182	152.6222307
183	152.3652985
184	152.2201037
185	151.9869251
186	151.9303655
187	151.6752906
188	151.573415
189	151.5728881
190	151.5076995
191	151.4145525
192	151.2423812
193	151.1270746
194	151.0576321
195	150.9778142
196	150.7993141
197	150.4633925
198	150.3615447
199	150.2652281
200	150.1499689
201	149.9128732
202	149.8314515
203	149.6900056
204	149.6488543
205	149.4875062
206	149.3855069
207	149.2887871
208	149.1703676
209	149.0661952
210	149.0361609
211	148.9838677
212	148.9836005
213	148.9317272
214	148.7634345
215	148.659934
216	148.3987954
217	148.2779135
218	148.1487925
219	148.0539481
220	148.0088334
221	147.9584923
222	147.8973978
223	147.8972414
224	147.8399072
225	147.6625254
226	147.6145416
227	147.4861995
228	147.2919307
229	147.1781172
230	147.0838518
231	147.0099444
232	146.8941269
233	146.6062397
234	146.5650809
235	146.356062
236	146.0216092
237	145.8971347
238	145.6738684
239	145.6583466
240	145.6347319
241	145.5773376
242	145.3095353
243	145.1982405
244	145.1491816
245	144.9791552
246	144.9773606
247	144.8747229
248	144.7995221
249	144.7079209
250	144.6208883
251	144.5555812
252	144.4381401
253	144.4004242
254	144.3563501
255	144.2964475
256	144.1405318
257	143.9849196
258	143.9566554
259	143.8725245
260	143.8235624
261	143.7853235
262	143.5991675
263	143.5533354
264	143.5269861
265	143.5174087
266	143.3753361
267	143.3470123
268	143.2282108
269	143.1266413
270	143.074466
271	143.0058179
272	142.8258354
273	142.7746128
274	142.6911004
275	142.6480276
276	142.5861673
277	142.4442776
278	142.346382
279	142.2850021
280	142.2299086
281	142.1673179
282	142.0584484
283	141.9994244
284	141.9555895
285	141.9501571
286	141.8806466
287	141.7859525
288	141.7052547
289	141.676389
290	141.5140996
291	141.5138667
292	141.3622739
293	141.30118
294	141.173683
295	141.0875818
296	141.0209962
297	140.9531914
298	140.9053721
299	140.8620983
300	140.6644039
301	140.5796112
302	140.4617315
303	140.4068388
304	140.3816322
305	140.3333121
306	140.2501281
307	140.1444454
308	140.0595286
309	140.0175095
310	139.9732626
311	139.9373493
312	139.833285
313	139.7180764
314	139.6273696
315	139.470807
316	139.4487783
317	139.3033564
318	139.2309314
319	139.0961829
320	139.020306
321	138.9943675
322	138.9497421
323	138.8400777
324	138.6674253
325	138.5943076
326	138.5298083
327	138.5118656
328	138.4355042
329	138.3259947
330	138.2232603
331	138.1626365
332	138.1624303
333	138.1255761
334	138.0494676
335	137.9732865
336	137.944538
337	137.9255148
338	137.7761376
339	137.692161
340	137.6687714
341	137.6328515
342	137.6151687
343	137.4649254
344	137.4398144
345	137.4370582
346	137.3580882
347	137.3168458
348	137.2545358
349	137.2516314
350	137.1595843
351	137.0661223
352	137.0427861
353	136.9871847
354	136.933741
355	136.8709755
356	136.8224398
357	136.7917044
358	136.7680235
359	136.7148146
360	136.6023445
361	136.5472323
362	136.4359189
363	136.362259
364	136.3341544
365	136.2356594
366	136.1636358
367	136.1089036
368	136.0750663
369	136.003957
370	135.9507622
371	135.8805185
372	135.801354
373	135.714853
374	135.6406784
375	135.6110065
376	135.5782277
377	135.4973995
378	135.4577548
379	135.4378455
380	135.3836178
381	135.3222628
382	135.2607202
383	135.2165253
384	135.0906781
385	135.0413913
386	135.0009116
387	134.9159425
388	134.8669165
389	134.8347001
390	134.7842443
391	134.7651104
392	134.7346281
393	134.6797129
394	134.5891525
395	134.463638
396	134.4374722
397	134.3939362
398	134.3351084
399	134.2645146
400	134.2314987
401	134.0713018
402	133.9977242
403	133.9341835
404	133.8560028
405	133.8195552
406	133.7855732
407	133.7387278
408	133.6616809
409	133.6328615
410	133.6135903
411	133.574283
412	133.5123554
413	133.4539473
414	133.4134581
415	133.388961
416	133.3454512
417	133.2552774
418	133.0798227
419	133.0239303
420	132.8908238
421	132.8421815
422	132.8417079
423	132.8018909
424	132.7418304
425	132.6955845
426	132.6599317
427	132.6011937
428	132.5308684
429	132.507099
